Original Sample ID,Collection date,Experiment ID,Ct value
985331,2/2/23,C1,17.3
95378017,11/24/22,C2,22.4
983368,3/15/23,C3,36.1
959618,2/15/23,C4,27.6
986437,3/13/23,C5,26.8
985384,2/3/23,C6,22.9
987353,4/13/23,C7,23
888386,3/22/23,C8,29.6
966059,3/5/23,C9,31
987352,4/13/23,C10,31.6
985945,2/24/23,C11,28.9
985745,2/1/23,C12,24.4
956324,3/13/23,C13,30.9
979212,2/1/23,C14,25.7
956324,3/13/23,C15,29.1
Bella,2/1/23,C16,26.3
"""Simi"" Gornish",2/6/23,C17,15.3
55691-23,10/1/23,C18,31.5
55767-23,10/1/23,C19,27
55648-23,10/3/23,C20,38.4
45340-23,8/1/23,C21,n/a